artist,song
Post Malone,Sunflower
Juice WRLD,Lucid Dreams
Lil Uzi Vert,XO TOUR Llif3
J. Cole,No Role Modelz
Post Malone,rockstar
Travis Scott,goosebumps
The Weeknd,Blinding Lights
Juice WRLD,All Girls Are The Same
XXXTENTACION,Jocelyn Flores
XXXTENTACION,SAD!
Lil Baby,Drip Too Hard (Lil Baby & Gunna)
Kendrick Lamar,HUMBLE.
Post Malone,Circles
Travis Scott,SICKO MODE
Glass Animals,Heat Waves
Post Malone,I Fall Apart
Post Malone,Congratulations
Drake,God's Plan
J. Cole,MIDDLE CHILD
Roddy Ricch,The Box
XXXTENTACION,Fuck Love
The Neighbourhood,Sweater Weather
Post Malone,Better Now
Offset,Ric Flair Drip
The Kid LAROI,Stay
Drake,One Dance
Olivia Rodrigo,good 4 u
Joji,SLOW DANCING IN THE DARK
Juice WRLD,Robbery
XXXTENTACION,Moonlight
Billie Eilish,lovely
Lil Baby,Yes Indeed
The Weeknd,The Hills
Harry Styles,As It Was
Morgan Wallen,Whiskey Glasses
Lewis Capaldi,Someone You Loved
Harry Styles,Watermelon Sugar
The Weeknd,Starboy
Post Malone,Wow.
The Chainsmokers,Closer
Post Malone,Psycho
Khalid,Location
Billie Eilish,bad guy
Childish Gambino,Redbone
Dua Lipa,Levitating
Doja Cat,Kiss Me More
Olivia Rodrigo,drivers license
DaBaby,ROCKSTAR
Lil Nas X,INDUSTRY BABY
Lil Mosey,Blueberry Faygo
Kendrick Lamar,LOVE. FEAT. ZACARI.
Khalid,Young Dumb & Broke
Ed Sheeran,Shape of You
Meek Mill,Going Bad
Ariana Grande,7 rings
Billie Eilish,when the party's over
Cardi B,I Like It
Halsey,Without Me
Logic,1-800-273-8255
Lizzo,Truth Hurts
Ariana Grande,"thank u, next"
Bebe Rexha,Meant to Be
James Arthur,Say You Won't Let Go
Drake,Wants and Needs
Marshmello,Happier
The Weeknd,Die For You
Arizona Zervas,ROXANNE
BlocBoy JB,Look Alive
Drake,Nice For What
Mariah Carey,All I Want for Christmas Is You
Steve Lacy,Bad Habit
blackbear,hot girl bummer
24kGoldn,Mood
